Age,Gender,City,AreaType,AnnualIncome,CreditScore,LoanApproved
29,Female,Coimbatore,Semi-Urban,871151,700,1
46,Female,Hyderabad,Urban,358729,591,0
22,Female,Mumbai,Urban,1151545,739,1
40,Male,Coimbatore,Semi-Urban,631297,751,1
48,Female,Bengaluru,Urban,551380,665,1
27,Male,Hyderabad,Urban,633717,630,1
64,Female,Pune,Urban,304862,617,0
28,Female,Trivandrum,Semi-Urban,646810,663,1
55,Male,Trivandrum,Semi-Urban,441378,623,0
34,Male,Trivandrum,Semi-Urban,614528,667,1
37,Male,Bengaluru,Urban,628965,650,1
56,Male,Chennai,Urban,481474,611,0
60,Male,Mumbai,Urban,239265,644,0
24,Male,Hyderabad,Urban,654742,682,1
22,Male,Mumbai,Urban,599789,632,1
26,Female,Coimbatore,Semi-Urban,638469,660,0
62,Female,Bengaluru,Urban,515698,722,1
24,Female,Kochi,Semi-Urban,468616,640,0
49,Female,Bengaluru,Urban,556980,631,0
38,Male,Bengaluru,Urban,627830,684,1
46,Male,Mumbai,Urban,734734,736,1
64,Female,Coimbatore,Semi-Urban,437964,699,0
54,Female,Bengaluru,Urban,758230,644,0
30,Male,Delhi,Urban,730769,644,1
56,Female,Kochi,Semi-Urban,704122,653,0
34,Female,Chennai,Urban,966051,661,1
51,Female,Delhi,Urban,248121,803,0
35,Female,Madurai,Semi-Urban,990121,684,1
28,Male,Delhi,Urban,469267,769,1
34,Female,Chennai,Urban,648310,720,1
43,Female,Kochi,Semi-Urban,608810,553,0
60,Male,Delhi,Urban,332359,654,1
41,Female,Bengaluru,Urban,705801,676,1
36,Male,Bengaluru,Urban,772752,688,1
38,Male,Chennai,Urban,684441,683,1
44,Male,Bengaluru,Urban,304630,593,1
46,Male,Chennai,Urban,351966,591,0
45,Male,Mumbai,Urban,460543,677,1
61,Female,Hyderabad,Urban,854551,659,1
49,Male,Madurai,Semi-Urban,619224,743,1
35,Male,Kochi,Semi-Urban,199866,680,1
21,Male,Madurai,Semi-Urban,1012864,718,1
45,Male,Delhi,Urban,900048,712,1
27,Female,Bengaluru,Urban,382651,676,0
29,Female,Mumbai,Urban,518144,735,1
44,Female,Coimbatore,Semi-Urban,542735,656,1
21,Female,Chennai,Urban,704631,677,1
64,Male,Bengaluru,Urban,639775,683,1
28,Female,Hyderabad,Urban,463740,637,0
44,Female,Hyderabad,Urban,862220,621,1
31,Male,Hyderabad,Urban,948795,615,1
37,Female,Bengaluru,Urban,590109,627,1
28,Female,Chennai,Urban,485257,673,1
55,Female,Kochi,Semi-Urban,919024,695,0
55,Male,Hyderabad,Urban,161108,617,0
53,Female,Kochi,Semi-Urban,421128,682,0
25,Male,Delhi,Urban,795873,667,1
62,Male,Delhi,Urban,878308,726,1
59,Male,Chennai,Urban,536094,654,1
61,Male,Delhi,Urban,1056059,759,1
48,Male,Bengaluru,Urban,111084,718,1
27,Male,Mumbai,Urban,818946,663,1
29,Female,Delhi,Urban,617283,652,1
28,Female,Chennai,Urban,502669,724,1
32,Female,Chennai,Urban,775554,663,1
54,Male,Chennai,Urban,521958,681,1
53,Male,Bengaluru,Urban,382593,654,1
43,Female,Hyderabad,Urban,623089,652,1
44,Male,Pune,Urban,589161,618,1
57,Female,Hyderabad,Urban,443888,748,0
55,Female,Mumbai,Urban,485369,660,0
64,Male,Kochi,Semi-Urban,517391,686,1
60,Female,Kochi,Semi-Urban,274750,704,0
42,Female,Pune,Urban,261863,747,1
47,Male,Madurai,Semi-Urban,786617,652,1
55,Male,Coimbatore,Semi-Urban,315246,564,0
21,Male,Pune,Urban,596439,684,1
55,Male,Chennai,Urban,226139,704,1
57,Male,Kochi,Semi-Urban,901228,652,1
34,Male,Madurai,Semi-Urban,546065,707,1
23,Male,Kochi,Semi-Urban,823543,680,1
21,Female,Pune,Urban,1022882,662,1
25,Male,Bengaluru,Urban,342235,746,1
46,Male,Mumbai,Urban,463848,663,1
34,Male,Pune,Urban,774402,762,1
59,Male,Hyderabad,Urban,473419,681,1
47,Male,Trivandrum,Semi-Urban,658073,638,0
29,Male,Bengaluru,Urban,620515,584,1
35,Male,Trivandrum,Semi-Urban,131421,739,1
35,Female,Pune,Urban,788733,727,1
46,Female,Hyderabad,Urban,572570,719,1
62,Male,Bengaluru,Urban,361194,744,1
33,Male,Bengaluru,Urban,909368,769,1
52,Female,Madurai,Semi-Urban,459423,573,0
59,Female,Trivandrum,Semi-Urban,448434,591,0
52,Male,Bengaluru,Urban,239830,665,1
24,Female,Bengaluru,Urban,719008,728,1
50,Male,Coimbatore,Semi-Urban,608496,694,1
57,Male,Coimbatore,Semi-Urban,252361,694,0
43,Female,Bengaluru,Urban,649125,657,1
59,Female,Hyderabad,Urban,765507,637,0
35,Female,Coimbatore,Semi-Urban,692426,675,1
63,Male,Delhi,Urban,864942,667,1
49,Male,Pune,Urban,479135,657,1
56,Male,Mumbai,Urban,953544,711,1
33,Male,Kochi,Semi-Urban,600728,679,1
52,Female,Mumbai,Urban,760099,702,1
27,Female,Pune,Urban,855525,674,1
42,Female,Mumbai,Urban,1129920,714,1
48,Female,Chennai,Urban,383766,624,0
22,Male,Hyderabad,Urban,452113,609,0
62,Female,Madurai,Semi-Urban,637972,663,0
26,Female,Mumbai,Urban,525828,718,1
48,Male,Hyderabad,Urban,439643,661,1
48,Female,Delhi,Urban,295031,781,0
64,Male,Bengaluru,Urban,625174,629,1
64,Female,Bengaluru,Urban,759096,670,1
40,Male,Hyderabad,Urban,670451,588,1
50,Male,Delhi,Urban,274023,753,1
31,Female,Trivandrum,Semi-Urban,278776,673,0
48,Female,Coimbatore,Semi-Urban,612241,562,0
45,Male,Pune,Urban,552230,664,1
59,Male,Mumbai,Urban,536431,551,1
53,Male,Trivandrum,Semi-Urban,544481,740,1
21,Male,Bengaluru,Urban,500366,634,1
47,Female,Bengaluru,Urban,629765,682,1
33,Female,Bengaluru,Urban,820244,642,1
61,Male,Mumbai,Urban,413159,670,1
23,Female,Chennai,Urban,690569,720,1
59,Male,Hyderabad,Urban,616538,659,1
26,Female,Kochi,Semi-Urban,243379,707,0
28,Male,Hyderabad,Urban,468870,539,1
47,Male,Delhi,Urban,602021,616,1
29,Female,Mumbai,Urban,1032878,682,1
57,Male,Chennai,Urban,454963,644,0
53,Female,Bengaluru,Urban,477949,738,0
62,Female,Chennai,Urban,682631,721,1
64,Male,Bengaluru,Urban,577344,748,1
44,Male,Kochi,Semi-Urban,347660,684,1
35,Female,Coimbatore,Semi-Urban,252996,642,0
52,Female,Hyderabad,Urban,227727,710,0
52,Male,Hyderabad,Urban,770005,627,1
44,Male,Coimbatore,Semi-Urban,393908,665,1
61,Female,Chennai,Urban,1073980,700,1
32,Male,Bengaluru,Urban,494373,644,1
59,Male,Mumbai,Urban,754295,799,1
22,Male,Kochi,Semi-Urban,367650,716,0
23,Female,Delhi,Urban,637980,634,0
57,Female,Trivandrum,Semi-Urban,882698,727,0
37,Female,Bengaluru,Urban,530035,761,1
22,Female,Mumbai,Urban,382881,604,0
22,Female,Chennai,Urban,525540,743,1
48,Male,Trivandrum,Semi-Urban,556754,616,0
43,Female,Madurai,Semi-Urban,402863,679,0
57,Male,Hyderabad,Urban,930591,688,1
52,Female,Bengaluru,Urban,603750,647,0
53,Male,Chennai,Urban,856047,646,1
21,Male,Bengaluru,Urban,814876,637,1
39,Female,Hyderabad,Urban,940240,652,1
22,Female,Delhi,Urban,348185,630,0
64,Male,Pune,Urban,728909,735,1
46,Female,Mumbai,Urban,499234,606,0
52,Male,Chennai,Urban,571586,769,1
26,Male,Chennai,Urban,383818,673,1
52,Female,Chennai,Urban,1065013,575,0
24,Male,Chennai,Urban,452964,718,1
31,Female,Trivandrum,Semi-Urban,730559,660,1
37,Male,Bengaluru,Urban,342871,620,1
58,Female,Pune,Urban,549108,662,1
44,Female,Delhi,Urban,812118,641,1
25,Male,Delhi,Urban,669468,744,1
54,Male,Hyderabad,Urban,411669,640,0
26,Female,Trivandrum,Semi-Urban,456980,613,0
42,Female,Mumbai,Urban,632558,644,1
31,Male,Hyderabad,Urban,596542,630,1
36,Male,Chennai,Urban,337398,733,1
53,Male,Pune,Urban,523791,690,1
29,Male,Hyderabad,Urban,570813,606,1
26,Male,Mumbai,Urban,713680,627,1
36,Male,Hyderabad,Urban,802611,657,1
49,Female,Bengaluru,Urban,734228,587,0
23,Female,Chennai,Urban,667907,624,0
40,Female,Chennai,Urban,672531,696,1
56,Female,Trivandrum,Semi-Urban,695410,770,0
39,Female,Mumbai,Urban,791355,588,1
46,Male,Coimbatore,Semi-Urban,938378,816,1
23,Female,Trivandrum,Semi-Urban,405474,698,0
39,Female,Chennai,Urban,510356,623,1
40,Female,Delhi,Urban,802105,756,1
52,Male,Trivandrum,Semi-Urban,400989,700,0
27,Female,Kochi,Semi-Urban,340890,722,0
61,Female,Delhi,Urban,471667,721,0
53,Female,Trivandrum,Semi-Urban,614705,733,0
60,Male,Bengaluru,Urban,504321,617,1
59,Female,Trivandrum,Semi-Urban,673907,720,0
38,Female,Hyderabad,Urban,543153,682,1
60,Male,Delhi,Urban,530966,709,1
21,Female,Chennai,Urban,266185,646,0
31,Male,Coimbatore,Semi-Urban,719755,647,1
48,Female,Mumbai,Urban,722384,651,1
45,Female,Kochi,Semi-Urban,562599,716,1
43,Male,Coimbatore,Semi-Urban,629799,675,1
51,Male,Madurai,Semi-Urban,629377,653,1
50,Female,Trivandrum,Semi-Urban,810273,663,0
62,Male,Bengaluru,Urban,644549,742,1
55,Male,Madurai,Semi-Urban,332913,704,0
27,Female,Kochi,Semi-Urban,981593,702,0
36,Male,Delhi,Urban,857791,693,1
46,Male,Pune,Urban,609941,733,1
22,Female,Chennai,Urban,630971,627,0
21,Male,Chennai,Urban,657858,724,1
32,Male,Delhi,Urban,445866,683,1
25,Female,Trivandrum,Semi-Urban,822975,633,0
57,Female,Mumbai,Urban,802109,679,1
52,Female,Kochi,Semi-Urban,582704,666,0
29,Female,Mumbai,Urban,734477,697,1
61,Female,Kochi,Semi-Urban,808669,725,0
55,Male,Coimbatore,Semi-Urban,645402,623,0
39,Male,Chennai,Urban,393833,765,1
36,Male,Trivandrum,Semi-Urban,737157,595,1
23,Male,Coimbatore,Semi-Urban,611273,642,0
40,Female,Mumbai,Urban,381051,778,1
44,Female,Hyderabad,Urban,806974,605,1
53,Male,Bengaluru,Urban,647398,650,1
44,Female,Coimbatore,Semi-Urban,554097,641,0
31,Male,Hyderabad,Urban,1014410,559,1
28,Male,Hyderabad,Urban,490973,674,1
56,Female,Hyderabad,Urban,411424,702,0
58,Male,Mumbai,Urban,631294,702,1
60,Male,Trivandrum,Semi-Urban,568977,650,0
40,Male,Coimbatore,Semi-Urban,488268,580,0
55,Male,Mumbai,Urban,881754,644,1
45,Female,Kochi,Semi-Urban,375551,634,0
55,Female,Trivandrum,Semi-Urban,661951,692,0
45,Male,Hyderabad,Urban,617464,651,1
49,Male,Bengaluru,Urban,597794,699,1
38,Female,Madurai,Semi-Urban,831074,582,0
38,Female,Kochi,Semi-Urban,1010815,710,1
22,Male,Kochi,Semi-Urban,600059,704,1
55,Male,Bengaluru,Urban,777636,623,1
36,Female,Coimbatore,Semi-Urban,608150,642,0
61,Female,Delhi,Urban,615769,662,1
56,Male,Coimbatore,Semi-Urban,690272,732,1
53,Female,Pune,Urban,633704,663,1
24,Male,Pune,Urban,417729,695,1
53,Male,Madurai,Semi-Urban,866242,678,1
34,Male,Bengaluru,Urban,689893,723,1
41,Female,Madurai,Semi-Urban,590657,686,1
40,Male,Bengaluru,Urban,474706,616,1
28,Male,Madurai,Semi-Urban,658397,665,1
27,Male,Hyderabad,Urban,551368,728,1
23,Female,Kochi,Semi-Urban,636433,694,0
37,Male,Bengaluru,Urban,562223,617,1
53,Male,Coimbatore,Semi-Urban,433786,767,0
32,Male,Bengaluru,Urban,922077,648,1
42,Female,Mumbai,Urban,411241,725,1
42,Male,Coimbatore,Semi-Urban,443847,749,1
50,Male,Trivandrum,Semi-Urban,735633,732,1
58,Male,Bengaluru,Urban,661955,635,1
58,Female,Mumbai,Urban,732145,733,1
28,Male,Bengaluru,Urban,700627,691,1
47,Female,Kochi,Semi-Urban,449392,613,0
47,Female,Pune,Urban,733992,675,1
54,Female,Kochi,Semi-Urban,471399,629,0
41,Male,Chennai,Urban,810755,699,1
50,Female,Hyderabad,Urban,400393,719,0
53,Male,Pune,Urban,441402,736,1
48,Male,Chennai,Urban,447034,676,1
53,Female,Delhi,Urban,662048,633,0
25,Male,Mumbai,Urban,589593,619,1
39,Male,Trivandrum,Semi-Urban,622947,713,1
24,Male,Madurai,Semi-Urban,576412,728,1
55,Female,Hyderabad,Urban,589368,707,1
37,Male,Kochi,Semi-Urban,503596,637,1
64,Female,Delhi,Urban,297794,647,0
48,Female,Hyderabad,Urban,320981,651,0
50,Female,Hyderabad,Urban,439711,604,0
49,Male,Delhi,Urban,535584,705,1
26,Female,Chennai,Urban,892916,672,1
55,Male,Coimbatore,Semi-Urban,396145,751,0
61,Male,Bengaluru,Urban,381507,631,0
57,Male,Bengaluru,Urban,235918,672,1
44,Male,Hyderabad,Urban,700247,617,1
49,Male,Bengaluru,Urban,557308,660,1
51,Male,Mumbai,Urban,341175,719,1
55,Male,Mumbai,Urban,594281,682,1
53,Male,Trivandrum,Semi-Urban,483335,631,0
41,Female,Pune,Urban,859038,605,1
52,Female,Trivandrum,Semi-Urban,465899,663,0
43,Female,Chennai,Urban,939624,690,1
53,Male,Pune,Urban,634445,721,1
23,Male,Mumbai,Urban,521023,642,1
38,Female,Mumbai,Urban,548607,641,1
45,Male,Mumbai,Urban,658646,786,1
62,Female,Hyderabad,Urban,546364,678,1
51,Male,Madurai,Semi-Urban,414873,727,0
23,Female,Hyderabad,Urban,726184,616,0
60,Male,Delhi,Urban,798303,696,1
44,Male,Chennai,Urban,805435,716,1
52,Female,Coimbatore,Semi-Urban,567945,682,0
42,Male,Coimbatore,Semi-Urban,818368,592,1
43,Male,Hyderabad,Urban,663094,634,1
22,Male,Kochi,Semi-Urban,541460,698,1
47,Female,Trivandrum,Semi-Urban,487797,600,0
62,Male,Delhi,Urban,784134,806,1
22,Male,Delhi,Urban,263422,736,1
46,Male,Delhi,Urban,877749,604,1
37,Male,Bengaluru,Urban,625199,693,1
60,Female,Kochi,Semi-Urban,480596,683,0
53,Male,Mumbai,Urban,457028,734,1
29,Male,Mumbai,Urban,511349,555,1
63,Male,Madurai,Semi-Urban,741181,688,1
59,Male,Bengaluru,Urban,662317,619,1
49,Male,Chennai,Urban,508205,701,1
62,Male,Bengaluru,Urban,491826,625,0
46,Male,Bengaluru,Urban,662807,748,1
55,Female,Hyderabad,Urban,1148729,695,1
45,Male,Pune,Urban,1146688,589,1
44,Female,Hyderabad,Urban,810238,552,1
33,Male,Kochi,Semi-Urban,445106,704,1
27,Male,Bengaluru,Urban,750814,645,1
56,Male,Delhi,Urban,451173,708,1
40,Male,Pune,Urban,554225,647,1
21,Female,Hyderabad,Urban,873127,740,1
28,Female,Coimbatore,Semi-Urban,551183,730,1
36,Female,Pune,Urban,543434,701,1
34,Female,Delhi,Urban,498851,635,0
32,Male,Hyderabad,Urban,436578,650,1
43,Male,Kochi,Semi-Urban,547628,667,1
35,Female,Coimbatore,Semi-Urban,748085,627,0
48,Female,Chennai,Urban,735374,713,1
54,Male,Mumbai,Urban,658764,663,1
22,Male,Hyderabad,Urban,835276,670,1
52,Male,Hyderabad,Urban,255092,653,1
43,Female,Madurai,Semi-Urban,610514,679,1
42,Male,Mumbai,Urban,458201,688,1
45,Male,Hyderabad,Urban,996872,652,1
42,Male,Delhi,Urban,548785,668,1
42,Female,Chennai,Urban,748326,656,1
62,Male,Chennai,Urban,799455,656,1
26,Female,Delhi,Urban,525331,681,1
35,Male,Mumbai,Urban,785927,552,1
63,Female,Hyderabad,Urban,808466,750,1
57,Female,Bengaluru,Urban,757958,718,1
53,Male,Delhi,Urban,495568,688,1
28,Male,Coimbatore,Semi-Urban,313868,721,1
64,Male,Madurai,Semi-Urban,1027683,612,0
64,Male,Chennai,Urban,541848,592,1
25,Female,Delhi,Urban,800869,585,0
59,Male,Madurai,Semi-Urban,507066,701,1
24,Male,Mumbai,Urban,1019563,687,1
26,Male,Pune,Urban,500340,697,1
52,Male,Madurai,Semi-Urban,620115,726,1
50,Female,Chennai,Urban,1064403,561,0
55,Male,Chennai,Urban,280335,619,0
60,Female,Chennai,Urban,841237,647,0
36,Female,Chennai,Urban,594944,713,1
33,Male,Madurai,Semi-Urban,741531,687,1
62,Male,Pune,Urban,530399,811,1
50,Female,Bengaluru,Urban,927206,625,0
39,Male,Delhi,Urban,437616,706,1
37,Male,Delhi,Urban,607433,727,1
39,Male,Mumbai,Urban,787084,753,1
48,Male,Kochi,Semi-Urban,435917,669,0
46,Female,Pune,Urban,625478,614,0
57,Male,Chennai,Urban,394971,712,1
46,Male,Bengaluru,Urban,519617,694,1
43,Female,Bengaluru,Urban,1124910,708,1
29,Female,Hyderabad,Urban,868305,747,1
32,Male,Hyderabad,Urban,733234,668,1
21,Female,Mumbai,Urban,673847,628,0
21,Male,Mumbai,Urban,286845,708,1
54,Female,Trivandrum,Semi-Urban,562628,695,0
52,Male,Mumbai,Urban,784459,664,1
45,Male,Hyderabad,Urban,511552,629,1
60,Female,Coimbatore,Semi-Urban,672112,697,0
21,Male,Coimbatore,Semi-Urban,399320,722,0
36,Female,Chennai,Urban,382440,600,0
59,Male,Hyderabad,Urban,1056245,682,1
25,Female,Coimbatore,Semi-Urban,1025824,709,0
42,Female,Bengaluru,Urban,582892,770,1
49,Male,Hyderabad,Urban,444373,683,1
23,Female,Mumbai,Urban,411558,757,0
32,Male,Chennai,Urban,680324,721,1
46,Female,Chennai,Urban,986939,722,1
36,Male,Mumbai,Urban,460238,639,1
57,Female,Trivandrum,Semi-Urban,639830,803,0
42,Male,Coimbatore,Semi-Urban,629746,683,1
49,Male,Pune,Urban,933134,690,1
34,Male,Bengaluru,Urban,656133,680,1
48,Male,Chennai,Urban,320780,741,1
25,Female,Trivandrum,Semi-Urban,750514,777,0
50,Female,Delhi,Urban,634199,712,1
25,Female,Hyderabad,Urban,426571,660,0
32,Male,Chennai,Urban,812013,764,1
36,Male,Hyderabad,Urban,537429,616,1
46,Male,Mumbai,Urban,666689,645,1
46,Female,Chennai,Urban,628897,610,0
41,Female,Pune,Urban,540277,661,1
59,Male,Bengaluru,Urban,437669,730,1
56,Male,Pune,Urban,711912,668,1
53,Male,Coimbatore,Semi-Urban,355957,682,0
50,Female,Mumbai,Urban,785686,698,1
57,Female,Trivandrum,Semi-Urban,429219,668,0
43,Female,Kochi,Semi-Urban,367030,624,0
30,Male,Chennai,Urban,880468,597,1
25,Female,Hyderabad,Urban,618789,745,1
56,Female,Delhi,Urban,219161,648,0
54,Male,Kochi,Semi-Urban,597442,645,0
51,Male,Delhi,Urban,722259,605,1
30,Male,Mumbai,Urban,727723,673,1
39,Male,Mumbai,Urban,445244,707,1
52,Female,Mumbai,Urban,473584,661,0
21,Male,Mumbai,Urban,632633,697,1
25,Female,Delhi,Urban,807704,581,0
24,Male,Madurai,Semi-Urban,336966,688,0
36,Male,Kochi,Semi-Urban,348380,659,1
44,Male,Trivandrum,Semi-Urban,874160,607,1
36,Male,Delhi,Urban,843528,599,1
22,Male,Kochi,Semi-Urban,411530,637,0
48,Male,Delhi,Urban,522501,619,1
52,Male,Bengaluru,Urban,1021582,697,1
47,Male,Pune,Urban,776035,701,1
40,Male,Bengaluru,Urban,590129,688,1
44,Male,Mumbai,Urban,828506,698,1
32,Male,Bengaluru,Urban,503503,601,1
55,Female,Bengaluru,Urban,631551,705,1
53,Male,Coimbatore,Semi-Urban,538017,713,1
53,Female,Mumbai,Urban,741525,693,1
63,Male,Coimbatore,Semi-Urban,740424,675,1
57,Female,Hyderabad,Urban,644626,642,0
32,Male,Chennai,Urban,700819,696,1
23,Female,Chennai,Urban,827349,660,1
21,Male,Kochi,Semi-Urban,693253,726,1
53,Female,Coimbatore,Semi-Urban,645110,693,0
60,Male,Mumbai,Urban,685343,671,1
30,Male,Hyderabad,Urban,842446,662,1
63,Female,Pune,Urban,415172,672,0
64,Male,Bengaluru,Urban,683158,672,1
49,Male,Mumbai,Urban,222603,676,1
33,Male,Mumbai,Urban,543424,615,1
32,Female,Bengaluru,Urban,977005,691,1
51,Female,Chennai,Urban,441923,688,0
22,Male,Bengaluru,Urban,273708,621,0
55,Female,Madurai,Semi-Urban,410856,691,0
43,Male,Delhi,Urban,742506,679,1
37,Male,Coimbatore,Semi-Urban,573704,638,1
46,Female,Delhi,Urban,398733,710,0
28,Female,Delhi,Urban,841560,746,1
49,Female,Trivandrum,Semi-Urban,685453,651,0
46,Male,Madurai,Semi-Urban,368678,685,0
30,Male,Bengaluru,Urban,555669,742,1
46,Male,Hyderabad,Urban,1026529,570,1
54,Male,Trivandrum,Semi-Urban,538077,774,1
61,Male,Pune,Urban,261191,684,1
27,Female,Pune,Urban,694017,717,1
24,Female,Kochi,Semi-Urban,676524,594,0
31,Male,Chennai,Urban,866531,611,1
49,Male,Bengaluru,Urban,521635,631,1
56,Female,Pune,Urban,688337,627,0
45,Male,Mumbai,Urban,649308,563,1
41,Female,Chennai,Urban,598732,620,1
56,Male,Pune,Urban,664732,638,1
30,Male,Bengaluru,Urban,720394,608,1
57,Female,Trivandrum,Semi-Urban,710063,754,0
29,Male,Kochi,Semi-Urban,783606,711,1
44,Male,Bengaluru,Urban,144094,643,1
55,Male,Hyderabad,Urban,300898,709,1
55,Female,Bengaluru,Urban,642671,696,1
56,Female,Delhi,Urban,623172,593,0
38,Male,Mumbai,Urban,396653,701,1
59,Male,Bengaluru,Urban,533023,659,1
52,Female,Pune,Urban,434701,714,0
44,Male,Hyderabad,Urban,717538,625,1
43,Female,Chennai,Urban,421680,707,1
52,Male,Chennai,Urban,642939,732,1
57,Male,Chennai,Urban,805017,699,1
32,Female,Pune,Urban,425810,590,0
33,Male,Hyderabad,Urban,331893,802,1
43,Female,Mumbai,Urban,447740,709,1
45,Male,Madurai,Semi-Urban,425995,668,1
55,Male,Kochi,Semi-Urban,608065,711,1
61,Female,Hyderabad,Urban,259729,785,0
50,Male,Madurai,Semi-Urban,921216,609,0
37,Female,Trivandrum,Semi-Urban,348744,734,0
40,Male,Chennai,Urban,330166,671,1
45,Female,Kochi,Semi-Urban,612274,664,1
42,Female,Pune,Urban,575404,667,1
33,Male,Mumbai,Urban,874256,575,1
39,Female,Trivandrum,Semi-Urban,545239,704,1
56,Female,Pune,Urban,542995,558,0
32,Male,Trivandrum,Semi-Urban,729529,653,1
61,Male,Bengaluru,Urban,789495,654,1
39,Male,Chennai,Urban,211046,660,1
32,Male,Delhi,Urban,613093,572,1
29,Male,Hyderabad,Urban,1031014,724,1
27,Male,Pune,Urban,475328,587,0
48,Male,Mumbai,Urban,630040,633,1
34,Female,Mumbai,Urban,803942,652,1
51,Male,Trivandrum,Semi-Urban,697251,664,1
39,Female,Delhi,Urban,389833,699,1
36,Male,Hyderabad,Urban,586518,680,1
25,Male,Bengaluru,Urban,352020,776,1
55,Female,Delhi,Urban,386231,697,0
32,Male,Madurai,Semi-Urban,821771,693,1
45,Male,Kochi,Semi-Urban,771239,651,1
41,Male,Hyderabad,Urban,957183,695,1
56,Male,Bengaluru,Urban,784753,655,1
43,Male,Coimbatore,Semi-Urban,571601,656,1
36,Female,Pune,Urban,397166,838,1
59,Male,Hyderabad,Urban,879448,757,1
62,Female,Trivandrum,Semi-Urban,725176,636,0
59,Female,Mumbai,Urban,759960,712,1
34,Male,Mumbai,Urban,714656,693,1
51,Male,Coimbatore,Semi-Urban,837262,646,0
25,Female,Bengaluru,Urban,295251,784,0
55,Female,Delhi,Urban,357223,669,0
43,Male,Chennai,Urban,425639,749,1
49,Male,Hyderabad,Urban,672820,647,1
63,Male,Kochi,Semi-Urban,508543,734,1
31,Male,Bengaluru,Urban,825646,746,1
38,Male,Delhi,Urban,596670,631,1
32,Female,Hyderabad,Urban,1063744,663,1
29,Male,Kochi,Semi-Urban,942738,675,1
30,Female,Bengaluru,Urban,627830,761,1
64,Female,Trivandrum,Semi-Urban,328357,757,0
37,Male,Kochi,Semi-Urban,737806,660,1
58,Male,Pune,Urban,377341,660,1
27,Female,Madurai,Semi-Urban,405099,692,0
33,Female,Hyderabad,Urban,521199,601,1
60,Female,Bengaluru,Urban,517410,743,1
62,Male,Kochi,Semi-Urban,710525,636,0
29,Male,Delhi,Urban,665477,684,1
47,Male,Bengaluru,Urban,398157,750,1
22,Male,Bengaluru,Urban,540857,702,1
25,Female,Delhi,Urban,328039,660,0
49,Male,Madurai,Semi-Urban,680371,628,0
57,Female,Madurai,Semi-Urban,227964,677,0
58,Male,Chennai,Urban,553052,665,1
39,Female,Hyderabad,Urban,470798,811,1
28,Female,Bengaluru,Urban,709095,639,1
21,Male,Mumbai,Urban,438208,653,1
42,Female,Trivandrum,Semi-Urban,430003,629,0
37,Male,Coimbatore,Semi-Urban,679285,667,1
27,Male,Mumbai,Urban,689918,706,1
45,Female,Bengaluru,Urban,390724,632,0
24,Female,Hyderabad,Urban,717752,697,1
56,Male,Pune,Urban,1091344,619,1
26,Male,Chennai,Urban,505694,726,1
51,Female,Hyderabad,Urban,354305,657,0
39,Female,Trivandrum,Semi-Urban,611088,663,1
64,Male,Trivandrum,Semi-Urban,323650,750,0
59,Female,Madurai,Semi-Urban,548252,658,0
47,Male,Hyderabad,Urban,498990,699,1
30,Male,Delhi,Urban,738454,715,1
46,Male,Mumbai,Urban,248735,745,1
39,Male,Pune,Urban,284227,696,1
